,,,,,,annual_inc,annual_inc,dti,dti,installment,installment,int_rate,int_rate,loan_amnt,loan_amnt,revol_bal,revol_bal,revol_util,revol_util,total_pymnt,total_pymnt
loan_status,,,,,,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid
term,grade,purpose,emp_length,home_ownership,verification_status,,,,,,,,,,,,,,,,
 36 months,A,credit_card,new,OTHER,Not Verified,,68000,,8.47,,155.95,,7.68,,5000,,14020,,38.5,,5483.328325
 36 months,A,credit_card,new,OWN,Not Verified,63000,45000,12.34,10.28,559.18,233.34,8.94,7.9,17600,7500,8943,8271,21.2,27.2,18757.11,8423.689999
 36 months,A,credit_card,new,OWN,Source Verified,68700,37000,16.54,8.7,308.41,190.52,6.92,6.62,10000,6000,11254,6215,48.5,41.6,10392.38,6088.154814
 36 months,A,credit_card,new,OWN,Verified,,36000,,22.23,,238.98,,7.51,,7750,,15863,,59.7,,8603.408132
 36 months,A,credit_card,new,RENT,Not Verified,50000,46000,16.04,12,142.04,216.58,7.51,7.66,4500,7000,10112,6575,28.9,34.7,3091.61,7597.061512
 36 months,A,credit_card,new,RENT,Source Verified,40500,50000,10.87,12.545,219.04,215.245,7.9,7.49,7000,7000,7445.5,6618.5,53.2,39.55,3639.205,7410.545979
 36 months,A,credit_card,new,RENT,Verified,,60000,,15.365,,264.4,,7.88,,8475,,9408,,39.05,,9157.076821
 36 months,A,credit_card,old,MORTGAGE,Not Verified,46000,70000,14.25,11.87,185.61,283.65,6.76,7.49,6000,9000,12826,13422,37.05,33.8,2980.07,10025.61838
 36 months,A,credit_card,old,MORTGAGE,Source Verified,48000,66996,20.9,10.7,157.82,320.95,7.66,7.49,5000,10500,12424,14313,55.8,39.7,1893.59,11500.78831
 36 months,A,credit_card,old,MORTGAGE,Verified,75000,80000,11.865,14.265,500.275,371.915,6.66,7.51,16250,12000,41076,19047,42.95,42.05,8275.935,12908.79935
 36 months,A,credit_card,old,OTHER,Not Verified,,45000,,11.04,,156.64,,8.32,,7500,,15862,,53.8,,5638.784731
 36 months,A,credit_card,old,OWN,Not Verified,42240,48989,12.33,17.49,245.63,241.65,6.62,7.49,8000,7750,9950,9913,53.5,28.7,6133,8577.255145
 36 months,A,credit_card,old,OWN,Source Verified,,66000,,13.27,,260.6,,7.2,,9437.5,,12642,,25.9,,9001.183754
 36 months,A,credit_card,old,OWN,Verified,,121500,,8.32,,491.135,,8,,15500,,16497.5,,19.3,,17597.85604
 36 months,A,credit_card,old,RENT,Not Verified,30000,48113,14.44,14.71,273.76,292.14,6.62,7.51,9000,9800,9358,13037,49,42.4,3250.18,10093.19443
 36 months,A,credit_card,old,RENT,Source Verified,27000,47416.02,17.73,15.705,190.63,294.15,8.94,6.915,6000,9500,20873,11926,28.4,46.55,5337,10566.3113
 36 months,A,credit_card,old,RENT,Verified,68300,54500,22.53,12.86,407.135,277.57,7.555,7.88,13050,9000,13620.5,9222,51.5,42,6852.335,9993.652973
 36 months,A,debt_consolidation,mid,MORTGAGE,Not Verified,42400,60000,16.4,12.19,229.915,246.31,6.205,7.49,7562.5,8000,11726.5,8747.5,36.5,29.35,2441.245,8752.599951
 36 months,A,debt_consolidation,mid,MORTGAGE,Source Verified,53300,60000,13.575,12.66,202.49,308.73,6.95,7.49,6562.5,10000,12583,8494.5,46.25,30.15,2760.37,10816.411
 36 months,A,debt_consolidation,mid,MORTGAGE,Verified,52000,75000,17.38,12.38,323.205,380.22,7.49,7.49,10500,12800,6276.5,11686,45.1,37.4,4644.99,13604.31009
