,,,,,,annual_inc,annual_inc,dti,dti,installment,installment,int_rate,int_rate,loan_amnt,loan_amnt,revol_bal,revol_bal,revol_util,revol_util,total_pymnt,total_pymnt
loan_status,,,,,,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid
term,grade,purpose,emp_length,home_ownership,verification_status,,,,,,,,,,,,,,,,
 36 months,B,home_improvement,new,OTHER,Not Verified,,58000,,8.23,,463.88,,11.83,,14000,,0,,0,,16041.36477
 36 months,B,home_improvement,new,OTHER,Verified,,100000,,5.95,,820.13,,11.14,,25000,,31752,,53.1,,28955.785
 36 months,B,home_improvement,new,OWN,Not Verified,,58750,,11.445,,181.24,,11.175,,5550,,10663,,39.3,,6524.284224
 36 months,B,home_improvement,new,OWN,Source Verified,27000,41604,9.78,18.14,159.41,467.23,11.99,10.38,4800,14400,8555,8982,75,68.6,325.11,16820.63358
 36 months,B,home_improvement,new,OWN,Verified,56600,37302,6.51,13.32,389.36,363.78,10.38,11.415,12000,11000,8717,5763,28.7,24.2,5859.98,11753.35146
 36 months,B,home_improvement,new,RENT,Not Verified,,57500,,9.82,,171.79,,11.425,,5200,,5457,,37.15,,5775.271375
 36 months,B,home_improvement,new,RENT,Source Verified,23004,57000,16.69,13,306.57,197.47,10.37,10.99,9450,6000,1339,4939,25.7,24.6,5225.64,7027.474965
 36 months,B,home_improvement,new,RENT,Verified,32100,42502,12.91,2.935,298.26,276.92,11.1,9.81,9000,8500,5497.5,1103.5,63.75,12.5,6810.085,9198.518463
 36 months,B,home_improvement,old,MORTGAGE,Not Verified,79000,74000,11.99,10.73,242.71,210.51,10.25,10.99,7500,6475,10398,6757,40.4,36.4,6888,7578.599522
 36 months,B,home_improvement,old,MORTGAGE,Source Verified,58500,71000,12.835,12.55,160.215,198.46,10.925,10.99,4900,6000,1877,7847,23.8,42.7,3418.92,7082.787618
 36 months,B,home_improvement,old,MORTGAGE,Verified,120150,106000,12.965,12.49,574.465,425.55,11.375,10.99,17500,14400,6117.5,11459,43.65,41.2,5594.215,15141.03
 36 months,B,home_improvement,old,OWN,Not Verified,,82500,,12.61,,363.325,,11.49,,11000,,6436,,26.35,,13042.32461
 36 months,B,home_improvement,old,OWN,Source Verified,,48000,,14.18,,230.37,,10.59,,7000,,12683,,62,,8294.145959
 36 months,B,home_improvement,old,OWN,Verified,38000,150000,23.73,2.2,421.04,659.37,12.42,11.48,12600,20000,4675,1284,35.2,6.3,13044.41,20191.52
 36 months,B,home_improvement,old,RENT,Not Verified,33500,48000,15.945,19.74,280.62,154.03,11.49,10.65,8500,4750,13219.5,5552,59.35,54,5570.435,5545.089096
 36 months,B,home_improvement,old,RENT,Source Verified,,45000,,5.29,,163.815,,11.05,,5000,,5253.5,,49.9,,5877.145609
 36 months,B,home_improvement,old,RENT,Verified,,66560,,7.99,,232.33,,10,,7200,,2305,,26.2,,7707.391418
 36 months,B,house,mid,MORTGAGE,Not Verified,,65379,,14.17,,324.51,,9.91,,10000,,365,,3.7,,11599.28938
 36 months,B,house,mid,MORTGAGE,Source Verified,31000,,7.39,,424.01,,10.74,,13000,,9140,,28.6,,7199.84,
 36 months,B,house,mid,OWN,Verified,,42000,,10.97,,259.57,,10.38,,8000,,1524,,10.8,,9345.171975
 36 months,B,house,mid,RENT,Not Verified,,70250,,6.98,,296.405,,11.265,,9000,,9878,,44.3,,10670.38886
 36 months,B,house,mid,RENT,Source Verified,,46000,,22.7,,129.05,,9.99,,4000,,10291,,54.7,,4273.960731
 36 months,B,house,mid,RENT,Verified,78000,103400,17.2,12.87,656.07,398.205,11.14,12.055,20000,12000,1401,10408.5,9.2,32.7,1533.03,14286.28477
 36 months,B,house,new,MORTGAGE,Not Verified,,80000,,15.925,,455.065,,10.695,,14000,,4497.5,,27.05,,15305.57076
 36 months,B,house,new,MORTGAGE,Source Verified,180000,126000,2.16,5.22,385.13,491.94,9.63,11.12,12000,15000,6056,22968,30.1,35.8,4847.56,16347.21855
 36 months,B,house,new,MORTGAGE,Verified,,61000,,15.5,,323.85,,10.25,,10000,,2495,,10.1,,11300.81821
 36 months,B,house,new,OWN,Source Verified,,51000,,17.09,,266.11,,11.505,,8000,,5687,,15.8,,9562.135524
 36 months,B,house,new,OWN,Verified,,78885,,23.32,,668.31,,12.42,,20000,,14881,,20.6,,24058.95805
 36 months,B,house,new,RENT,Not Verified,68000,72000,15.14,10.055,310.9,328.465,10.25,11.14,9600,10000,5778,6335,17.9,38.25,6528.83,10727.10528
 36 months,B,house,new,RENT,Source Verified,,58500,,8.9,,232.15,,11.71,,7000,,3274,,30.8,,7139.49
 36 months,B,house,new,RENT,Verified,,59000,,9.905,,328.43,,11.425,,10000,,1711.5,,32.9,,11137.72981
 36 months,B,house,old,MORTGAGE,Not Verified,,49000,,16.405,,318.5,,10.495,,9800,,11443,,32.9,,11437.80451
 36 months,B,house,old,MORTGAGE,Source Verified,,99000,,13.1,,164.86,,10.65,,5000,,10080,,47.8,,5936.348617
 36 months,B,house,old,MORTGAGE,Verified,,63000,,26.72,,486.62,,10.37,,15000,,44850,,14.6,,17519.71445
 36 months,B,house,old,OWN,Not Verified,,150000,,13.42,,811.79,,11.83,,24500,,346,,0.7,,24741.88
 36 months,B,house,old,OWN,Verified,,150000,,0.7,,795.22,,11.83,,24000,,346,,0.7,,24237.05
 36 months,B,house,old,RENT,Not Verified,,40000,,0.72,,390.54,,10.59,,12000,,868,,4.9,,12825.79938
 36 months,B,house,old,RENT,Source Verified,111000,67600,10.115,5.35,762.06,476.16,11.785,10,23000,15000,30095.5,6476,72.1,40.7,16975.28,15811.27979
 36 months,B,house,old,RENT,Verified,66000,71000,22.955,4.22,638.52,530.45,11.43,11.28,19500,16250,9459.5,8331,30.25,17.4,10064.525,17620.7505
 36 months,B,major_purchase,mid,MORTGAGE,Not Verified,62000,67440,12.23,14.92,263.78,164.56,11.49,11.11,8000,5000,11396,10627,68.7,47.7,6493.23,5924.49687
 36 months,B,major_purchase,mid,MORTGAGE,Source Verified,,63500,,6.375,,189.755,,10.745,,5825,,2181.5,,32.75,,6349.651959
 36 months,B,major_purchase,mid,MORTGAGE,Verified,,75000,,11.57,,330.84,,10.805,,10100,,6385,,35.95,,11910.0368
 36 months,B,major_purchase,mid,OWN,Not Verified,,40000,,19.17,,191.5,,10.96,,7000,,8128,,48,,6894.210487
 36 months,B,major_purchase,mid,OWN,Source Verified,,38336,,12.045,,168.11,,9.99,,5200,,2070,,40.9,,6029.663505
 36 months,B,major_purchase,mid,OWN,Verified,,61000,,7.47,,493.755,,11.9,,15000,,2583,,40.05,,16460.3842
 36 months,B,major_purchase,mid,RENT,Not Verified,30500,43680,18.11,12.49,155.315,162.87,10.62,10.62,4775,5000,4981,3760,53,36.6,2320.84,5787.457954
 36 months,B,major_purchase,mid,RENT,Source Verified,,52500,,10.48,,220.875,,10.365,,6850,,3598,,49.35,,7414.451259
 36 months,B,major_purchase,mid,RENT,Verified,,24000,,11.37,,49.46,,10.74,,1500,,865,,12,,1780.625933
 36 months,B,major_purchase,new,MORTGAGE,Not Verified,,49000,,10.05,,164.21,,10.99,,5000,,4836,,45.3,,5605.249289
 36 months,B,major_purchase,new,MORTGAGE,Source Verified,,88500,,6.475,,222.935,,11.12,,6800,,6771.5,,42.6,,7503.836576
 36 months,B,major_purchase,new,MORTGAGE,Verified,27000,80000,17.82,5.44,393.65,485.415,11.14,11.3,12000,14700,21312,4958.5,29.2,33.2,9477.42,16964.83785
 36 months,B,major_purchase,new,OTHER,Verified,,43100,,10.72,,120.3,,12.37,,3600,,1353,,29.5,,4245.585899
 36 months,B,major_purchase,new,OWN,Not Verified,64450,36000,4.03,12.28,212.62,161.13,11.105,11.49,6500,5000,6728,1864,22.3,29.5,5238.495,5800.460782
 36 months,B,major_purchase,new,OWN,Source Verified,,44500,,10,,101.015,,11.6,,3050,,1926.5,,40.65,,3491.250703
 36 months,B,major_purchase,new,OWN,Verified,,37584,,10.19,,331.48,,11.48,,10000,,5110,,33.5,,11933.38321
 36 months,B,major_purchase,new,RENT,Not Verified,34800,48000,12.01,10.22,199.48,180.67,11.425,10.99,6000,5600,1025.5,3992,17.8,35.6,1688.275,6504.239578
 36 months,B,major_purchase,new,RENT,Source Verified,44500,40000,13.6,8.95,127.67,148.38,10.99,10.99,3900,4500,4418,1125,49.2,22.5,2035.75,5341.436302
 36 months,B,major_purchase,new,RENT,Verified,42000,55000,13.9,6.5,402.25,212.78,11.49,10.99,12200,6500,4761,3411,55.7,29.7,6606.4,7536.297602
 36 months,B,major_purchase,old,MORTGAGE,Not Verified,62500,68000,9.35,9.11,492.06,169.41,11.14,10.99,15000,5175,19639,7990,39.1,40.6,3444,6098.905441
 36 months,B,major_purchase,old,MORTGAGE,Source Verified,106000,97998,9.54,10.61,129.07,243.1,10.95,11.115,4000,7500,19262,6239,63.8,37.9,4053.46,8718.989405
 36 months,B,major_purchase,old,MORTGAGE,Verified,,107004,,12.3,,332.1,,10.95,,10000,,9012,,29.2,,11955.39921
 36 months,B,major_purchase,old,OTHER,Not Verified,,25992,,14.82,,96.03,,9.45,,3000,,1059,,11.1,,3358.873139
 36 months,B,major_purchase,old,OWN,Not Verified,,57000,,12.405,,345.58,,11.42,,10500,,1138.5,,6.85,,11037.69825
 36 months,B,major_purchase,old,OWN,Source Verified,54000,35004,14.36,13.18,652.32,114.28,10.74,10.36,20000,3600,5139,1065,27.5,9.5,10852.82,3750.055129
 36 months,B,major_purchase,old,OWN,Verified,22440,93436,23.74,12.885,157.46,192.915,11.86,10,4750,6000,0,28897,0,55.8,628.8,6247.597433
 36 months,B,major_purchase,old,RENT,Not Verified,72000,45600,5.925,13.95,301.725,165.74,10.315,10.65,9350,5000,4641,6283,29.75,52.4,1999.52,5730.865678
 36 months,B,major_purchase,old,RENT,Source Verified,29865,55560,19.37,11.39,163.98,199.26,11.12,11.71,5000,6000,1868,5979,38.9,47.6,3131.44,7173.23953
 36 months,B,major_purchase,old,RENT,Verified,39948,54000,7.79,18.65,525.485,289.09,12.195,10.36,15737.5,8875,700,6229,6.05,47.9,6708.56,10407.12679
 36 months,B,medical,mid,MORTGAGE,Not Verified,,51621,,5.7,,154.55,,11.49,,4625,,4570,,17.6,,5563.609683
 36 months,B,medical,mid,MORTGAGE,Source Verified,53000,46996.5,16.6,15.9,190.47,154.31,8.88,12.69,6000,4600,3443,4622.5,15.3,54.2,6475.98,5227.38855
 36 months,B,medical,mid,MORTGAGE,Verified,,70834,,15.69,,202.17,,10.36,,6300,,11227,,46.3,,7132.669927
 36 months,B,medical,mid,OWN,Not Verified,,22000,,14.73,,198.99,,11.89,,6000,,3001,,53.6,,6484.299052
 36 months,B,medical,mid,OWN,Source Verified,,43000,,18.98,,115.4,,11.49,,3500,,1278,,13,,3872.305381
 36 months,B,medical,mid,RENT,Not Verified,12000,40500,11.7,11.93,178.41,190.495,10.36,10.87,5500,5750,194,4240,1.8,37.25,2355.41,6773.865535
 36 months,B,medical,mid,RENT,Source Verified,,48500,,15.53,,171.23,,11.12,,5225,,2192.5,,21.75,,6164.160686
 36 months,B,medical,mid,RENT,Verified,,34500,,16.95,,188.515,,10.305,,5750,,3040.5,,53.75,,6856.578639
 36 months,B,medical,new,MORTGAGE,Not Verified,42600,82500,15.195,9.925,115.89,172.445,11.655,10.62,3500,5600,11603.5,4363,83.65,26.85,922.45,6117.549414
 36 months,B,medical,new,MORTGAGE,Source Verified,,78000,,11.36,,254.07,,10.38,,7875,,4548,,45.5,,8601.055363
 36 months,B,medical,new,MORTGAGE,Verified,,84000,,18.44,,198.46,,9.99,,6000,,1514,,21.1,,7167.072893
 36 months,B,medical,new,OWN,Not Verified,25000,35412,7.68,7.05,163.67,162.19,10.99,10.36,5000,5000,6472,4361,73.5,33.8,2401.81,5623.298734
 36 months,B,medical,new,OWN,Source Verified,,40000,,18.93,,73.07,,10.74,,2200,,3535,,57.8,,2630.131265
 36 months,B,medical,new,OWN,Verified,24996,,0.34,,262.91,,11.26,,8000,,350,,1.7,,2890.47,
 36 months,B,medical,new,RENT,Not Verified,46680,36000,4.07,12.44,197.47,133.67,11.36,11.12,6000,4000,4381,2496,33.2,36.9,2956.58,4826.95
 36 months,B,medical,new,RENT,Source Verified,14400,37500,1.25,10.395,258.1,175.9,9.99,11.375,8000,5350,368,2335,15.3,37.45,1802.05,6323.823167
 36 months,B,medical,new,RENT,Verified,38000,46500,16.275,14.19,168.265,171,11.37,10,5100,5250,1507.5,6451.5,32.4,74.05,1769.995,6177.204589
 36 months,B,medical,old,MORTGAGE,Not Verified,60000,81000,19,16.87,120.77,145.57,11.71,10.99,3600,4400,22238,9110.5,64.2,53.85,3612.83,5240.508826
 36 months,B,medical,old,MORTGAGE,Source Verified,,90000,,10.38,,196.78,,11.49,,6000,,27655,,60,,7084.474905
 36 months,B,medical,old,MORTGAGE,Verified,106700,92000,8.635,8.73,138.11,208.38,10.51,11.71,4250,6300,27563,9314,43.65,70.3,473.535,7394.493539
 36 months,B,medical,old,OWN,Not Verified,,50000,,7.46,,32.23,,9.91,,1000,,4876,,81.3,,1157.457752
 36 months,B,medical,old,RENT,Not Verified,48000,60872,14.74,7.99,180.71,134.485,11.035,10.59,5487.5,4500,16398.5,7584,66.45,37.795,4631.235,4841.306899
 36 months,B,medical,old,RENT,Source Verified,,44000,,14.26,,153.16,,11.055,,4750,,2404,,23.9,,5433.459074
 36 months,B,medical,old,RENT,Verified,,84753.5,,14.815,,495.28,,11.205,,15250,,5518,,34.3,,15913.76244
 36 months,B,moving,mid,MORTGAGE,Not Verified,,97502,,8.395,,327.135,,11.13,,10000,,13349.5,,55.85,,11748.14935
 36 months,B,moving,mid,MORTGAGE,Verified,,102000,,7.855,,180.285,,10.93,,5500,,9346,,38.45,,6490.040142
 36 months,B,moving,mid,OWN,Not Verified,40800,34000,16.06,1.025,95.48,261.83,11.99,10.975,2875,8750,4159,1575,92.4,23.2,2693,9143.69401
 36 months,B,moving,mid,RENT,Not Verified,32180.5,42000,17.055,15.88,163.55,118.48,9.91,11.36,5075,3600,3221.5,5093,32.9,49.8,2781.435,4124.474863
 36 months,B,moving,mid,RENT,Source Verified,81000,43900,17.44,9.05,198.89,98.3,11.86,10.865,6000,3000,18494,2639,84.4,24.75,4573.95,3336.564013
 36 months,B,moving,mid,RENT,Verified,,34000,,9.99,,79.71,,11.99,,2400,,1010,,31.6,,2869.25339
 36 months,B,moving,new,MORTGAGE,Not Verified,,52692,,13.03,,149.24,,11.89,,4500,,850,,14.2,,5372.535499
 36 months,B,moving,new,MORTGAGE,Source Verified,52500,120000,23.54,12.225,318.68,163.435,12.69,11.24,9500,5000,23729,13033.5,75.3,52.65,7002.16,5328.512148
 36 months,B,moving,new,MORTGAGE,Verified,,82500,,19.095,,324,,11.175,,14000,,22704.5,,50.5,,11514.12522
 36 months,B,moving,new,OWN,Not Verified,35000,23000,22.35,4.22,197.83,61.6,11.49,11.175,6000,1875,5397,2514,70.1,35.95,6768.14,2205.931262
 36 months,B,moving,new,OWN,Source Verified,,29520,,11.78,,72.775,,11.66,,2200,,8633.5,,83.95,,2548.517009
 36 months,B,moving,new,RENT,Not Verified,24000,50000,18.75,11.15,95.865,130.49,11.24,11.36,2900,4000,3101.5,4483,50.7,45.1,1599.43,4624.330725
 36 months,B,moving,new,RENT,Source Verified,37290,40000,11.205,12.325,97.865,161.68,10,10.59,3000,5000,1473.5,2508,31.25,38.65,1462.45,5673.681516
 36 months,B,moving,new,RENT,Verified,47400,57600,9.395,8.1,180.04,162.19,11.425,10.95,5500,5000,5095,3284,43.75,33.3,4714.405,5838.813607
 36 months,B,moving,old,MORTGAGE,Not Verified,,66000,,17.27,,217.62,,11.49,,6600,,25514,,48.2,,7523.383993
 36 months,B,moving,old,MORTGAGE,Source Verified,86700,89750,18.39,9.965,164.86,331.805,11.49,11.18,5000,10050,23320,15980.5,66.9,46.05,5000.65,11944.6196
 36 months,B,moving,old,MORTGAGE,Verified,,87000,,20.32,,497.22,,11.12,,15000,,17611,,36.7,,17941.87137
 36 months,B,moving,old,OWN,Not Verified,,33600,,15.61,,99.41,,11.83,,3000,,1125,,23.4,,3442.119299
 36 months,B,moving,old,RENT,Not Verified,220000,51000,17.51,9.71,818.38,165.88,10.99,10.68,25000,5100,32888,9611,75.4,73.85,6546.63,5965.947346
 36 months,B,moving,old,RENT,Source Verified,57000,53922,13.89,10.52,167.08,80.23,11.12,10.59,5000,2500,3110,2935,27,54.4,3347.72,2920.036499
 36 months,B,moving,old,RENT,Verified,,51000,,14,,161.02,,12.69,,4800,,7064,,16.3,,5671.860167
 36 months,B,other,mid,MORTGAGE,Not Verified,80000,60000,17.61,10.65,188.99,197.83,10.38,10.99,7500,6000,17243,6093,43,54.2,6046.72,7071.17489
 36 months,B,other,mid,MORTGAGE,Source Verified,52762,61700,6.66,15.845,202.66,222.43,10.85,11.055,6250,6750,9019.5,9251,66.75,56.35,5303.51,7912.947464
 36 months,B,other,mid,MORTGAGE,Verified,30000,78000,24.8,16.98,66.42,281.08,11.99,11.48,2000,9800,1261,15047,5.7,65.3,1510.4,10118.87625
 36 months,B,other,mid,OWN,Not Verified,,30000,,15.1,,161.06,,11.48,,5000,,5171,,43.6,,5432.624378
 36 months,B,other,mid,OWN,Source Verified,,52500,,19.01,,183.17,,12.135,,5500,,10300.5,,54.15,,6424.283646
 36 months,B,other,mid,OWN,Verified,,40358.5,,8.945,,282.17,,11.505,,8500,,5940.5,,20.15,,10138.48245
 36 months,B,other,mid,RENT,Not Verified,45000,44928,14.57,14.405,135.35,160.745,10.59,11.14,4200,5000,3360,5545,39.2,40.3,2703.4,5638.406634
 36 months,B,other,mid,RENT,Source Verified,47148,39000,11.865,9.88,148.39,165.895,11.18,11.3,4500,5000,7064.5,2644,52.4,37.45,2935.115,5963.826481
 36 months,B,other,mid,RENT,Verified,64800,47280,14.24,17.325,325.6,178.945,12.42,10.75,10000,5500,19320,3593,65.7,42.6,2621.4,6051.514159
 36 months,B,other,new,MORTGAGE,Not Verified,65000,57300,17.085,12.655,164.755,196.945,10.835,11.14,7300,6000,20934.5,7081,59.45,44.35,1890.735,7069.451686
 36 months,B,other,new,MORTGAGE,Source Verified,50004,81000,18.93,10.34,58.09,170.12,10,10.59,1800,5200,2175,7600,17.7,56.2,1206.9,6123.934089
 36 months,B,other,new,MORTGAGE,Verified,83980,72400,12.665,13.44,162.92,456.03,11.47,11.14,5000,14000,18130.5,10930,48.35,30.9,1764.995,14910.08541
 36 months,B,other,new,OTHER,Not Verified,,60000,,13.72,,164.02,,11.14,,5000,,6577,,15.8,,5905.015925
 36 months,B,other,new,OWN,Not Verified,25788.36,47700,16.15,12.885,116.55,156.465,11.89,11.14,3500,5000,1815,4093.5,47.4,33.45,2071.23,5617.265556
 36 months,B,other,new,OWN,Source Verified,22002,24996,5.58,12.16,156.14,245.97,10.745,10.36,4750,7500,4580.5,10436,30.1,56.6,2466.61,8656.646319
 36 months,B,other,new,OWN,Verified,,59998,,10.595,,358.435,,11.12,,13600,,13375,,46.3,,12883.73568
 36 months,B,other,new,RENT,Not Verified,41970,42000,9.31,11.865,153.45,162.365,11.485,11.42,4750,5000,6179,4776,54.8,46.75,2139.665,5780.018843
 36 months,B,other,new,RENT,Source Verified,24000,42000,15.82,12.035,289.47,155.905,10.65,10.99,8875,4825,1500,3421,55.5,52.2,3262.31,5423.552525
 36 months,B,other,new,RENT,Verified,50004,50400,18.48,12.67,259.57,193.61,11.71,11.46,8000,6000,2284,5284,57.5,50.1,1643.8,6782.675486
 36 months,B,other,old,MORTGAGE,Not Verified,50000,70000,15.03,13.68,184.89,196.41,11.125,10.99,5700,6000,10518,13373,56.35,55.2,2104.99,7033.566451
 36 months,B,other,old,MORTGAGE,Source Verified,62000,70196,19.61,13.425,65.95,258.685,11.49,10.865,2000,8000,17377,14451,74.9,39.4,1823.53,9312.974967
 36 months,B,other,old,MORTGAGE,Verified,,86004,,12.81,,334.16,,11.12,,10000,,15580,,63.1,,12029.44225
 36 months,B,other,old,OTHER,Not Verified,,45996,,6.03,,177.99,,10.2,,5500,,1442,,13.5,,6407.486744
 36 months,B,other,old,OWN,Not Verified,25180,53004,14.77,14.18,90.675,164.02,11.575,11.12,2750,5000,6836,7224,25.9,38.5,2060.4,5715.490906
 36 months,B,other,old,OWN,Source Verified,75440,35002,21.5,20.34,283.73,128.85,10.55,10.685,8712.5,3900,15025,7084.5,80.35,58.6,4321.27,4270.749842
 36 months,B,other,old,OWN,Verified,,92500,,5.89,,809.685,,11.84,,24900,,8772.5,,37.95,,26692.73497
 36 months,B,other,old,RENT,Not Verified,58000,48996,15.84,14.33,264.61,194.31,11.71,11.11,8000,6000,12598,6785,56.5,48.6,4133.83,6243.293281
 36 months,B,other,old,RENT,Source Verified,53500,50000,14.895,12.19,72.985,163.67,10.36,11.49,2250,5000,7197,7056,65.6,72,771.82,5251.455818
 36 months,B,other,old,RENT,Verified,34998,60000,10.67,15.9,158.25,165.67,12.21,10.99,4750,5000,7806.5,6444,29.05,60.4,3734.925,5940.169406
 36 months,B,renewable_energy,mid,MORTGAGE,Not Verified,32000,108600,11.25,12.25,97.87,499.5,10.75,12.18,3000,15000,9630,24573,87.5,87.4,1269.03,15153.17
 36 months,B,renewable_energy,mid,RENT,Not Verified,42000,,10.31,,329.12,,11.36,,10000,,4036,,73.4,,10951.82,
 36 months,B,renewable_energy,mid,RENT,Source Verified,,63816,,13.97,,112.33,,9.63,,3500,,931,,12.4,,3658.279781
 36 months,B,renewable_energy,mid,RENT,Verified,,85000,,14.65,,814,,10.62,,25000,,8867,,17.5,,29305.55171
 36 months,B,renewable_energy,new,MORTGAGE,Not Verified,75000,,9.39,,131.89,,11.49,,4000,,15086,,86.7,,1314.7,
 36 months,B,renewable_energy,new,MORTGAGE,Source Verified,,28300,,7.61,,116.165,,11.285,,3500,,3440.5,,13.65,,4054.213385
 36 months,B,renewable_energy,new,RENT,Not Verified,,36000,,21.68,,66.42,,11.99,,2000,,5647,,91.1,,2391.079843
 36 months,B,renewable_energy,new,RENT,Source Verified,,25800,,16.34,,105.035,,11.07,,3200,,781,,53.3,,3755.749227
 36 months,B,renewable_energy,old,MORTGAGE,Not Verified,,79000,,15.21,,297.69,,11.71,,9000,,3106,,72.4,,10716.58
 36 months,B,renewable_energy,old,MORTGAGE,Source Verified,,120000,,18.21,,64.53,,9.99,,2000,,32589,,97.6,,2322.989973
 36 months,B,renewable_energy,old,MORTGAGE,Verified,,110004,,10.97,,497.46,,12.42,,15000,,11922,,45.9,,15498.31845
 36 months,B,renewable_energy,old,OWN,Not Verified,,21600,,16.94,,263.78,,11.49,,8000,,2507,,24.8,,9493.155134
 36 months,B,renewable_energy,old,RENT,Not Verified,,49500,,14.785,,126.96,,10.565,,3900,,5206.5,,65.75,,4390.737067
 36 months,B,renewable_energy,old,RENT,Source Verified,37000,75000,18,13.58,103.82,320.94,10.37,9.63,3200,10000,5076,26408,78.2,63.2,1187.69,11135.95116
 36 months,B,renewable_energy,old,RENT,Verified,,53995,,5.56,,160.47,,9.63,,5000,,0,,0,,5521.786098
 36 months,B,small_business,mid,MORTGAGE,Not Verified,50000,70000,3.2,13.49,369.08,166.58,10.25,10.99,11500,5000,4268,11700,73.6,42.5,8040.59,5991.708105
 36 months,B,small_business,mid,MORTGAGE,Source Verified,,95000,,14.31,,358.775,,10.74,,11000,,12340,,66.65,,12916.33951
 36 months,B,small_business,mid,MORTGAGE,Verified,90000,69592,6.55,10.8,664.2,390.54,10.62,10.74,20000,12000,5137,4849,24.2,27.7,8691.68,12107.96
 36 months,B,small_business,mid,OTHER,Verified,,85000,,2.61,,530.63,,11.89,,16000,,29204,,51.9,,17031.45692
 36 months,B,small_business,mid,OWN,Not Verified,,30000,,3.6,,97.31,,10.36,,3000,,1290,,28,,3503.358491
 36 months,B,small_business,mid,OWN,Source Verified,,120000,,10.78,,255.33,,10.99,,7800,,5338,,15.9,,9191.670339
 36 months,B,small_business,mid,RENT,Not Verified,63000,60000,21.445,12.16,109.11,194.31,10.54,11.11,3350,9600,24253,5947,56.75,35.8,1953.555,6656.094931
 36 months,B,small_business,mid,RENT,Source Verified,42000,75000,15.23,11.65,239.11,308.53,10.37,10.66,7200,9500,5626,4024,56.5,37.05,1832.33,11083.74727
 36 months,B,small_business,mid,RENT,Verified,50000,65000,20.45,11.955,491.87,321.53,11.11,11.31,15000,16000,3518,3989,26.5,20.15,5551.98,11277.55002
 36 months,B,small_business,new,MORTGAGE,Not Verified,52550,80000,14.4,11.59,479.21,381.48,11.105,11.11,14750,15000,36513,14180,12.05,42.6,8529.28,13491.08888
 36 months,B,small_business,new,MORTGAGE,Source Verified,75000,105000,13.2,10.23,424.01,490.92,10.74,10.7,13000,18500,10436,6403.5,28.5,40,2540.16,17673.48802
 36 months,B,small_business,new,MORTGAGE,Verified,120000,68000,9.85,11.32,394.285,399.78,11.16,11.49,17000,12000,31696.5,3131,20.4,20.3,3760.74,14391.9989
 36 months,B,small_business,new,OTHER,Verified,,58000,,7.49,,533.04,,12.21,,16000,,10144,,15.6,,19189.32872
 36 months,B,small_business,new,OWN,Not Verified,,40000,,16.48,,176.26,,10.38,,5375,,3992,,43.4,,6347.068202
 36 months,B,small_business,new,OWN,Source Verified,,61700,,8.76,,469.07,,11.125,,14300,,686,,3.9,,16295.08977
 36 months,B,small_business,new,OWN,Verified,,125000,,15.95,,902.3,,9.91,,28000,,66538,,40.6,,32482.74065
 36 months,B,small_business,new,RENT,Not Verified,37000,37000,10.99,13.38,198.46,194.62,11.49,10.99,6000,6000,6048,4884,81.7,36.8,2345.66,7006.5571
 36 months,B,small_business,new,RENT,Source Verified,40000,53000,11.55,5.32,228.27,270.84,10.68,10.37,7000,8500,5575,2804,52.1,33.85,3594.9,9046.908133
 36 months,B,small_business,new,RENT,Verified,40700,54000,11.12,11.35,358.98,335.45,11.185,10.74,11000,10000,6452,1983,23.45,21.9,7567.69,11747.57887
 36 months,B,small_business,old,MORTGAGE,Not Verified,69600,70000,8.09,14.44,230.8,263.78,11.36,10.74,7000,8000,6614,13119,77.1,43.8,1185.78,9495.652822
 36 months,B,small_business,old,MORTGAGE,Source Verified,,95000,,12.12,,491.01,,10.99,,15000,,16157,,36.9,,17611.52692
 36 months,B,small_business,old,MORTGAGE,Verified,66000,87500,11.1,12.665,454.18,544.03,11.26,10.93,15000,16500,6334,8807.5,36.9,30.85,7528.81,19379.36383
 36 months,B,small_business,old,OTHER,Source Verified,72000,,13.27,,495.21,,11.58,,15000,,23236,,42.4,,3070.53,
 36 months,B,small_business,old,OWN,Not Verified,52600,600000,14.14,4.61,209.23,518.16,11.3,10.25,6375,16000,21744.5,12997,73.75,65.7,5568.99,18588.49803
 36 months,B,small_business,old,OWN,Source Verified,68000,49850,10.11,8.17,200.5,250.52,12.42,10.43,6000,7762.5,1296,5266.5,68.2,18.8,2069.3,8012.127895
 36 months,B,small_business,old,OWN,Verified,120500,172000,12.3,14.395,569.625,296.475,10.495,11.35,17500,9000,16963.5,46542,39.85,66.25,7381.155,10673.09096
 36 months,B,small_business,old,RENT,Not Verified,36000,55000,14.22,5.65,198.89,315.49,10.99,11.26,6000,9600,2992,7832,27,28.8,1114.27,10185.7202
 36 months,B,small_business,old,RENT,Source Verified,60000,37500,9.03,5.47,168.7,234.33,10.65,10.59,5200,7200,7470,5254,65.3,55.4,3041.77,8435.595998
 36 months,B,small_business,old,RENT,Verified,52000,57996,14.275,11.35,576.52,159.59,11.485,9.62,17500,5000,4958.5,3444,40.15,50.2,6490.87,5745.473321
